@relation SINE2
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.844,0.758,p
0.259,0.511,p
0.784,0.303,n
0.583,0.908,n
0.282,0.756,n
0.251,0.910,n
0.684,0.472,p
0.913,0.967,n
0.805,0.549,p
0.825,0.668,p
0.968,0.803,n
0.448,0.080,p
0.290,0.189,p
0.758,0.877,n
0.923,0.842,n
0.923,0.541,p
0.849,0.895,n
0.590,0.950,n
0.451,0.660,n
0.117,0.220,p
0.574,0.910,n
0.036,0.022,p
0.961,0.185,p
0.211,0.801,n
0.023,0.426,p
0.101,0.988,n
0.838,0.918,n
0.058,0.676,n
0.845,0.342,n
0.311,0.357,p
0.012,0.742,n
0.336,0.046,p
0.288,0.359,p
0.414,0.651,p
0.002,0.192,p
0.239,0.637,p
0.875,0.568,p
0.662,0.047,p
0.884,0.495,p
0.875,0.812,n
0.188,0.999,n
0.083,0.726,n
0.214,0.717,p
0.002,0.823,n
0.453,0.792,n
0.681,0.558,n
0.947,0.938,n
0.042,0.749,n
0.655,0.712,n
0.333,0.790,n
0.395,0.548,n
0.293,0.478,p
0.099,0.909,n
0.474,0.841,n
0.344,0.479,n
0.427,0.302,n
0.894,0.920,n
0.376,0.975,n
0.394,0.519,n
0.449,0.489,n
0.679,0.423,p
0.431,0.359,n
0.064,0.864,n
0.378,0.546,n
0.151,0.989,n
0.498,0.499,n
0.963,0.899,n
0.818,0.035,n
0.257,0.784,n
0.583,0.718,n
0.656,0.969,n
0.505,0.901,n
0.574,0.679,n
0.758,0.991,n
0.599,0.826,n
0.798,0.657,p
0.860,0.943,n
0.492,0.863,n
0.987,0.411,p
0.471,0.151,n
0.032,0.617,n
0.105,0.549,p
0.881,0.610,n
0.124,0.683,p
0.189,0.782,p
0.790,0.075,p
0.216,0.093,p
0.819,0.889,n
0.699,0.420,p
0.923,0.936,n
0.447,0.686,n
0.030,0.919,n
0.723,0.079,n
0.359,0.029,p
0.010,0.974,n
0.205,0.674,p
0.938,0.123,p
0.473,0.293,n
0.937,0.958,n
0.581,0.156,p
0.898,0.946,n
0.551,0.741,n
0.369,0.949,n
0.058,0.409,p
0.728,0.321,p
0.558,0.688,n
0.796,0.446,p
0.768,0.432,p
0.483,0.204,p
0.002,0.699,n
0.629,0.545,n
0.156,0.706,p
0.762,0.280,p
0.526,0.582,n
0.396,0.102,p
0.283,0.755,n
0.530,0.249,n
0.920,0.164,p
0.627,0.531,n
0.292,0.372,p
0.381,0.591,n
0.140,0.668,p
0.695,0.318,p
0.652,0.060,p
0.621,1.000,n
0.461,0.330,n
0.435,0.447,n
0.709,0.524,n
0.389,0.807,p
0.390,0.220,p
0.940,0.587,p
0.388,0.234,p
0.613,0.705,n
0.512,0.284,n
0.353,0.458,n
0.516,0.956,n
0.930,0.934,n
0.266,0.044,p
0.681,0.971,n
0.340,0.102,p
0.029,0.044,p
0.673,0.736,p
0.072,0.461,p
0.099,0.765,n
0.077,0.427,p
0.180,0.490,p
0.128,0.871,n
0.442,0.605,n
0.099,0.733,p
0.660,0.742,n
0.645,0.118,p
0.703,0.661,p
0.234,0.629,p
0.553,0.328,n
0.585,0.025,p
0.396,0.976,n
0.076,0.765,n
0.353,0.591,n
0.834,0.526,p
0.220,0.653,p
0.661,0.495,n
0.481,0.314,n
0.038,0.726,n
0.962,0.343,p
0.726,0.658,n
0.672,0.305,p
0.025,0.045,p
0.226,0.654,p
0.892,0.217,n
0.747,0.383,p
0.736,0.687,n
0.409,0.390,n
0.514,0.732,n
0.022,0.806,n
0.621,0.458,n
0.150,0.602,p
0.806,0.733,p
0.932,0.036,p
0.293,0.151,p
0.270,0.492,p
0.550,0.977,n
0.773,0.570,p
0.404,0.496,n
0.776,0.290,n
0.340,0.978,n
0.329,0.969,n
0.916,0.899,p
0.816,0.565,n
0.323,0.783,n
0.141,0.044,p
0.126,0.929,n
0.480,0.947,p
0.779,0.747,p
0.549,0.424,n
0.504,0.797,p
0.285,0.429,p
0.991,0.718,n
0.538,0.555,n
0.361,0.950,n
0.562,0.412,n
